project_id,project_category_id,language
action_classification,ai,en
action_classification,ai,nl
cardiovascular_visualization,3d,en
cardiovascular_visualization,webapp,en
cardiovascular_visualization,3d,nl
cardiovascular_visualization,webapp,nl
typeorm_library_catalog,webapp,en
typeorm_library_catalog,webapp,nl
furnify2,3d,en
furnify2,webapp,en
furnify2,3d,nl
furnify2,webapp,nl
schaken,webapp,en
schaken,webapp,nl
jobswiper,webapp,en
jobswiper,webapp,nl
aibomgen_platform,thesis,en
aibomgen_platform,ai,en
aibomgen_platform,thesis,nl
aibomgen_platform,ai,nl
