id,projectid,language,started,finished,title,title_ext,location,tags,technologies,description,image,url,height
1,action_classification,en,2025,2025,Action Classification,Human action recognition notebooks,Ghent University,"{""Computer Vision"",""Classification"",""Experiment"",""AI""}","{""Python"",""Jupyter"",""SciKit-Learn"",""NumPy"",""Pandas"",""TensorFlow""}","This ""Action Classification"" project was developed as part of our master's program at Ghent University and consists of two sprints. The first sprint focused on classifying actions using classical machine learning algorithms, while the second sprint applied deep learning techniques with TensorFlow. The project is entirely implemented in Jupyter Notebook and includes data preparation, model training, and evaluation. It thus provides a concrete example of a complete machine learning workflow, from raw data to actionable classifications.",/projects/actionclass.png,https://github.com/wiebe-vandendriessche/action-classification,400
2,action_classification,nl,2025,2025,Action Classification,"Notebooks voor bewegingsclassificatie",Universiteit Gent,"{""Computer Vision"",""Classificatie"",""Experiment"",""AI""}","{""Python"",""Jupyter"",""SciKit-Learn"",""NumPy"",""Pandas"",""TensorFlow""}","Dit ""Action Classification"" project werd ontwikkeld tijdens onze masteropleiding aan de Universiteit Gent en bestaat uit twee sprints. In de eerste sprint werd gewerkt met klassieke machine learning algoritmen om acties te classificeren. In de tweede sprint lag de focus op deep learning technieken met TensorFlow. Het project is volledig uitgewerkt in Jupyter Notebook en omvat data voorbereiding, modeltraining en evaluatie. Zo biedt het een concreet voorbeeld van een volledige machine learning workflow, van ruwe data tot bruikbare classificaties.",/projects/actionclass.png,https://github.com/wiebe-vandendriessche/action-classification,400
3,cardiovascular_visualization,en,2025,,Cardiovascular Visualization,Interactive vascular exploration,Ghent University,"{""Medical"",""3D"",""Visualization"",""Endoscopy""}","{""VTK.js"",""JavaScript"",""Vite"",""WebGL""}","This project is an interactive web application for visualizing cardiovascular data, developed as part of the Computer Graphics course in my master's program. Using VTK.js and Vite, it enables users to explore 3D representations of blood vessels, including mesh and skeleton views, endoscopic navigation, and cross-sectional analysis. With real-time rendering and intuitive controls, the application provides deep insight into complex medical datasets.",/projects/cvv.png,,450
4,cardiovascular_visualization,nl,2025,,Cardiovasculaire Visualisatie,Interactieve vasculaire exploratie,Universiteit Gent,"{""Medisch"",""3D"",""Visualisatie"",""Endoscopie""}","{""VTK.js"",""JavaScript"",""Vite"",""WebGL""}","Dit project is een interactieve webapplicatie voor de visualisatie van cardiovasculaire data, ontwikkeld voor het vak Computer Graphics in mijn masteropleiding. Met behulp van VTK.js en Vite biedt het gebruikers de mogelijkheid om 3D-weergaven van bloedvaten te verkennen, zoals mesh- en skeletvisualisaties, endoscopische navigatie en doorsnede-analyse. Dankzij real-time rendering en intuïtieve bediening levert de applicatie diepgaand inzicht in complexe medische datasets.",/projects/cvv.png,,450
5,typeorm_library_catalog,en,2024,2025,TypeORM Library Catalog,Group project bibliographic system,,"{""Catalog"",""CRUD"",""ORM""}","{""TypeScript"",""TypeORM"",""Node.js"",""Express""}","Library catalog system implementing books, articles, authors, genres and locations with relational mappings.",/projects/typeorm.png,,300
6,typeorm_library_catalog,nl,2024,2025,TypeORM Bibliotheekcatalogus,Groepsproject bibliografisch systeem,,"{""Catalogus"",""CRUD"",""ORM""}","{""TypeScript"",""TypeORM"",""Node.js"",""Express""}","Bibliotheekcatalogus die boeken, artikels, auteurs, genres en locaties beheert met relationele relaties.",/projects/typeorm.png,,300
7,furnify2,en,2024,2025,Furnify,3D modular room configuration,,"{""3D"",""Interior"",""Configurator""}","{""React"",""Three.js"",""React Three Fiber"",""MongoDB""}","Interactive 3D room experience letting users configure modular furniture through guided questionnaires.",/projects/furnify.png,,450
8,furnify2,nl,2024,2025,Furnify,3D modulaire kamerconfiguratie,,"{""3D"",""Interieur"",""Configurator""}","{""React"",""Three.js"",""React Three Fiber"",""MongoDB""}","Interactieve 3D kamererervaring waarmee gebruikers modulaire meubels configureren via een vragenlijst.",/projects/furnify.png,,450
9,schaken,en,2025,,Chess App,Chess project & team report,,"{""Game"",""Logic"",""Strategy""}","{""JavaScript"",""HTML"",""CSS""}","Implementation of chess logic and UI accompanied by detailed team report (PDF).",/projects/chess.png,,350
10,schaken,nl,2025,,Schaken,Schaakproject & teamverslag,,"{""Spel"",""Logica"",""Strategie""}","{""JavaScript"",""HTML"",""CSS""}","Implementatie van schaaklogica en UI met gedetailleerd teamverslag (PDF).",/projects/chess.png,,350
